timestamp, temperature.gpu, clocks.current.sm [MHz], power.draw [W], utilization.gpu [%], memory.used [MiB]
2026/09/19 10:32:54.377, 72, 2820 MHz, 251.88 W, 100 %, 9637 MiB
2026/09/19 10:32:55.377, 73, 2820 MHz, 253.99 W, 100 %, 9637 MiB
2026/09/19 10:32:56.377, 72, 2820 MHz, 256.30 W, 100 %, 9637 MiB
2026/09/19 10:32:57.377, 72, 2820 MHz, 255.72 W, 99 %, 9637 MiB
2026/09/19 10:32:58.378, 72, 2820 MHz, 258.76 W, 100 %, 9637 MiB
2026/09/19 10:32:59.378, 74, 2820 MHz, 259.81 W, 100 %, 9637 MiB
2026/09/19 10:33:00.378, 72, 2820 MHz, 260.73 W, 100 %, 9637 MiB
2026/09/19 10:33:01.378, 70, 2835 MHz, 232.79 W, 100 %, 9637 MiB
2026/09/19 10:33:02.378, 69, 2835 MHz, 230.77 W, 100 %, 9637 MiB
2026/09/19 10:33:03.378, 70, 2835 MHz, 230.32 W, 100 %, 9637 MiB
2026/09/19 10:33:04.378, 69, 2835 MHz, 230.20 W, 100 %, 9637 MiB
2026/09/19 10:33:05.379, 71, 2820 MHz, 244.70 W, 100 %, 9637 MiB
2026/09/19 10:33:06.381, 71, 2820 MHz, 252.93 W, 100 %, 9637 MiB
2026/09/19 10:33:07.381, 72, 2820 MHz, 254.96 W, 99 %, 9637 MiB
2026/09/19 10:33:08.381, 73, 2820 MHz, 254.70 W, 100 %, 9637 MiB
2026/09/19 10:33:09.382, 73, 2820 MHz, 257.29 W, 100 %, 9637 MiB
2026/09/19 10:33:10.382, 72, 2820 MHz, 258.36 W, 99 %, 9637 MiB
2026/09/19 10:33:11.382, 74, 2820 MHz, 258.34 W, 100 %, 9637 MiB
2026/09/19 10:33:12.382, 72, 2820 MHz, 259.29 W, 100 %, 9637 MiB
2026/09/19 10:33:13.382, 69, 2835 MHz, 238.08 W, 100 %, 9637 MiB
2026/09/19 10:33:14.382, 69, 2835 MHz, 231.53 W, 100 %, 9637 MiB
2026/09/19 10:33:15.383, 69, 2835 MHz, 230.75 W, 100 %, 9637 MiB
2026/09/19 10:33:16.383, 69, 2835 MHz, 230.33 W, 100 %, 9637 MiB
2026/09/19 10:33:17.383, 71, 2820 MHz, 240.49 W, 100 %, 9637 MiB
2026/09/19 10:33:18.383, 72, 2820 MHz, 252.92 W, 100 %, 9637 MiB
2026/09/19 10:33:19.383, 72, 2820 MHz, 254.09 W, 100 %, 9637 MiB
2026/09/19 10:33:20.383, 72, 2805 MHz, 255.15 W, 100 %, 9637 MiB
2026/09/19 10:33:21.383, 73, 2820 MHz, 257.20 W, 100 %, 9637 MiB
2026/09/19 10:33:22.384, 72, 2820 MHz, 259.22 W, 100 %, 9637 MiB
2026/09/19 10:33:23.384, 72, 2760 MHz, 259.35 W, 99 %, 9637 MiB
2026/09/19 10:33:24.384, 73, 2820 MHz, 259.40 W, 100 %, 9637 MiB
2026/09/19 10:33:25.384, 69, 2835 MHz, 242.80 W, 100 %, 9637 MiB
